ID,Name,Price,"Quantity on Hand"
225,"Tiffany Blue Headboard",$222.99,75
226,"Congo pink Bench",$114.99,51
227,"True Blue Plant Stand",$42.99,36
228,"Misty rose Loveseat",$269.99,99
229,"Venetian red Crib",$289,34
230,"Indigo Sectional","$1,039.99",81
231,"Japanese violet Reclining Loveseat","$1,023.99",7
232,"Golden yellow Ottoman",$52.99,77
233,"Spanish gray Futon",$219.99,58
234,"Desert sand Bench",$114.99,95
235,"Pink Sherbet Crib",$289,34
236,"Scarlet Coffee Table",$200,56
237,"Azure Sleeper Sofa","$1,279.99",43
238,"Opal Coffee Table",$200,78
239,"Chrome yellow Dining Chair",$89.99,23
240,"Dark spring green Dining Table",$800,5
241,"Schauss pink Futon",$219.99,19
242,"Army green Crib",$289,86
243,"Dark goldenrod Nightstand",$81.99,22
244,"French bistre Bench",$114.99,26
245,"Duke blue Storage Bench",$194.99,43
246,"Sweet Brown Chaise Lounge",$235.99,69
247,"Light slate gray Stool",$54.99,98
248,"Medium blue Bench",$114.99,34
249,"French rose Bench",$114.99,49
250,"Cadet blue Dining Table",$800,71
251,"Citrine Plant Stand",$42.99,61
252,"Liseran purple Stool",$54.99,55
253,"Quick Silver Sleeper Sofa","$1,279.99",33
254,"MSU green Dresser",$699.99,8
255,"Pistachio Headboard",$222.99,73
256,"Jasmine Stool",$54.99,64
257,"B'dazzled blue Sectional","$1,039.99",21
258,"Teal Dresser",$699.99,85
259,"Royal purple Stool",$54.99,4
260,"Marigold Plant Stand",$42.99,76
261,"Granite gray Bench",$114.99,88
262,"Mountain Meadow green End Table",$39.99,97
263,"Opera mauve Daybed",$311.99,46
264,"Old lavender Crib",$289,33
265,"Medium slate blue Dining Chair",$89.99,8
266,"Old burgundy Plant Stand",$42.99,55
267,"Alice blue Dining Chair",$89.99,23
268,"Illuminating emerald Reclining Sofa","$1,119.99",81
269,"Baker-Miller pink Reclining Sofa","$1,119.99",74
270,"Lilac Loveseat",$269.99,62
271,"Earth yellow Dining Chair",$89.99,34
272,"Dark orange Reclining Loveseat","$1,023.99",39
273,"Persimmon Chaise Lounge",$235.99,63
274,"Baby pink Loveseat",$269.99,47
275,"Bleu de France Reclining Sofa","$1,119.99",69
276,"Persian pink Chaise Lounge",$235.99,40
277,"Heliotrope End Table",$39.99,32
278,"Cobalt blue End Table",$39.99,40
279,"Vivid burgundy Daybed",$311.99,2
280,"Amber Headboard",$222.99,68
281,"Van Dyke brown Stool",$54.99,3
282,"Dark slate blue Plant Stand",$42.99,24
283,"Turquoise blue Chaise Lounge",$235.99,45
284,"Avocado Storage Bench",$194.99,29
285,"Slate gray Daybed",$311.99,80
286,"Celtic blue Crib",$289,30
287,"Green-yellow Reclining Sofa","$1,119.99",40
288,"Green-blue Sleeper Sofa","$1,279.99",67
289,"Cadmium orange Wardrobe",$719.99,46
290,"Citrine Headboard",$222.99,67
291,"Illuminating emerald End Table",$39.99,52
292,"Razzmatazz Bench",$114.99,96
293,"English red Dresser",$699.99,24
294,"Yale Blue Dining Table",$800,78
295,"Mint green Dresser",$699.99,79
296,"Sunset Sectional","$1,039.99",57
297,"Mauve Storage Bench",$194.99,37
298,"Seal brown Dining Table",$800,99
299,"Aquamarine Sectional","$1,039.99",78
300,"Alloy orange Sleeper Sofa","$1,279.99",90
301,"Light cornflower blue Dining Table",$800,43
302,"Light periwinkle Crib",$289,97
303,"Honeydew Storage Bench",$194.99,76
304,"Lilac Luster Bed",$389.99,3
305,"Arylide yellow Dining Table",$800,38
306,"Unbleached silk Bench",$114.99,78
307,"Orchid Crib",$289,91
308,"Hot pink Coffee Table",$200,8
309,"Wine dregs maroon Ottoman",$52.99,92
310,"Magenta haze Plant Stand",$42.99,87
311,"Wood brown Reclining Loveseat","$1,023.99",23
312,"Granny Smith apple Daybed",$311.99,45
313,"Phthalo blue Sleeper Sofa","$1,279.99",67
314,"Cream End Table",$39.99,31
315,"Syracuse Orange Sleeper Sofa","$1,279.99",6
316,"Sacramento State green Sleeper Sofa","$1,279.99",34
317,"Tomato red Futon",$219.99,21
318,"Plum Loveseat",$269.99,37
319,"Sap green Ottoman",$52.99,37
320,"Sage green Storage Bench",$194.99,42
321,"Fandango pink Dining Table",$800,31
322,"Sugar Plum Nightstand",$81.99,18
323,"Golden brown Bed",$389.99,58
324,"Peach Sofa",$649.99,54
325,"Violet Bench",$114.99,11
326,"Almond Dining Table",$800,39
327,"Pewter Blue Headboard",$222.99,74
328,"Nickel Loveseat",$269.99,92
329,"Fawn Bed",$389.99,0
330,"Light slate gray Headboard",$222.99,13
331,"Tangerine End Table",$39.99,30
332,"Steel pink Storage Bench",$194.99,18
333,"Black coral Nightstand",$81.99,37
334,"Lemon chiffon Sofa",$649.99,23
335,"Fuchsia Dining Chair",$89.99,75
336,"Pansy purple Reclining Sofa","$1,119.99",65
337,"Floral white Dresser",$699.99,81
338,"Russian violet Sofa",$649.99,0
339,"Coral pink Bench",$114.99,81
340,"Raspberry Storage Bench",$194.99,58
341,"Wild blue yonder Sectional","$1,039.99",96
342,"Pewter Blue Futon",$219.99,18
343,"Blush Plant Stand",$42.99,38
344,"Dark lava Dining Table",$800,54
345,"Italian sky blue Wardrobe",$719.99,7
346,"Wild Strawberry Loveseat",$269.99,93
347,"White Reclining Sofa","$1,119.99",76
348,"Middle purple Dining Table",$800,90
349,"Aquamarine Sofa",$649.99,58
350,"Rose vale Stool",$54.99,20
351,"White Daybed",$311.99,30
352,"Violet-blue Sectional","$1,039.99",57
353,"Melon pink Sofa",$649.99,48
354,"New York pink Dining Chair",$89.99,51
355,"Han blue Headboard",$222.99,2
356,"Beige Bench",$114.99,34
357,"Earth yellow Daybed",$311.99,39
358,"Coffee Headboard",$222.99,78
359,"Earth yellow Bench",$114.99,69
360,"Deep taupe Dining Chair",$89.99,92
361,"Copper rose Sectional","$1,039.99",10
362,"Blue bell Sectional","$1,039.99",2
363,"Pumpkin Wardrobe",$719.99,28
364,"Deep Space Sparkle Stool",$54.99,18
365,"Neon Carrot Reclining Loveseat","$1,023.99",36
366,"Blond Dining Chair",$89.99,24
367,"Han purple Daybed",$311.99,19
368,"Cinnabar Sleeper Sofa","$1,279.99",63
369,"Mellow apricot Bench",$114.99,85
370,"Windsor tan Daybed",$311.99,5
371,"Blue-violet Sleeper Sofa","$1,279.99",50
372,"True Blue Nightstand",$81.99,59
373,"Cameo pink Dresser",$699.99,10
374,"Han blue Chaise Lounge",$235.99,50
375,"Pearly purple Sleeper Sofa","$1,279.99",92
376,"Mellow apricot Storage Bench",$194.99,43
377,"Pakistan green Loveseat",$269.99,39
378,"Pansy purple Dining Table",$800,90
379,"UP Forest green Reclining Loveseat","$1,023.99",47
380,"Dark olive green Reclining Sofa","$1,119.99",67
381,"Gray Reclining Sofa","$1,119.99",80
382,"French pink Bench",$114.99,55
383,"Coyote brown Chaise Lounge",$235.99,8
384,"Sage green Crib",$289,0
385,"Puce Reclining Loveseat","$1,023.99",48
386,"Harvard Crimson Crib",$289,49
387,"Carmine Sectional","$1,039.99",49
388,"Cosmic cobalt Dresser",$699.99,26
389,"Platinum Nightstand",$81.99,93
390,"International orange Reclining Loveseat","$1,023.99",24
391,"Red-purple Crib",$289,26
392,"Cornsilk Reclining Sofa","$1,119.99",42
393,"Persian plum Ottoman",$52.99,47
394,"Uranian blue Futon",$219.99,73
395,"Imperial red Bench",$114.99,88
396,"Cardinal Dining Table",$800,38
397,"French beige Headboard",$222.99,41
398,"Mountain Meadow green Sectional","$1,039.99",80
399,"Mantis green Reclining Sofa","$1,119.99",87
400,"Languid lavender Dresser",$699.99,29
401,"Middle red Sofa",$649.99,21
402,"Tart Orange Sofa",$649.99,70
403,"Turquoise blue Futon",$219.99,56
404,"Sea green Bench",$114.99,86
405,"Van Dyke brown Stool",$54.99,91
406,"Tan Coffee Table",$200,25
407,"Pullman Brown Headboard",$222.99,23
408,"Illuminating emerald Ottoman",$52.99,55
409,"Dodger blue End Table",$39.99,33
410,"Snow white Bed",$389.99,85
411,"Russian green End Table",$39.99,26
412,"Violet Sectional","$1,039.99",89
413,"Naples yellow Loveseat",$269.99,15
414,"Queen blue Reclining Sofa","$1,119.99",4
415,"Midnight blue Reclining Loveseat","$1,023.99",75
416,"Middle red Reclining Loveseat","$1,023.99",69
417,"Shadow grey Coffee Table",$200,22
418,"Linen Reclining Sofa","$1,119.99",98
419,"Pistachio Wardrobe",$719.99,41
420,"Rose quartz Reclining Sofa","$1,119.99",62
421,"Burlywood End Table",$39.99,30
422,"Cadmium orange Reclining Loveseat","$1,023.99",59
423,"Majorelle blue Storage Bench",$194.99,10
424,"Blue yonder Plant Stand",$42.99,79
425,"Persian orange Futon",$219.99,90
426,"Van Dyke brown Chaise Lounge",$235.99,67
427,"Cambridge blue Storage Bench",$194.99,32
428,"Emerald Crib",$289,3
429,"French raspberry Reclining Loveseat","$1,023.99",43
430,"Maya blue Coffee Table",$200,78
431,"Mauve Chaise Lounge",$235.99,56
432,"Middle red Dining Chair",$89.99,11
433,"Olive Drab Dining Table",$800,91
434,"Tuscan tan Coffee Table",$200,63
435,"Cosmic cobalt Chaise Lounge",$235.99,16
436,"Medium sea green Plant Stand",$42.99,30
437,"Powder blue Chaise Lounge",$235.99,72
438,"Quinacridone magenta Ottoman",$52.99,70
439,"Eton blue Sectional","$1,039.99",59
440,"Prune Stool",$54.99,56
441,"Middle yellow Chaise Lounge",$235.99,76
442,"Medium blue Plant Stand",$42.99,53
443,"Parchment Bed",$389.99,73
444,"Tangerine Futon",$219.99,72
445,"International Klein Blue Headboard",$222.99,77
446,"Ocean Blue Sleeper Sofa","$1,279.99",55
447,"Denim Wardrobe",$719.99,80
448,"Amaranth pink Coffee Table",$200,9
449,"Dark green Daybed",$311.99,71
450,"Pink lavender Nightstand",$81.99,52
451,"Fiery rose Nightstand",$81.99,87
452,"Citron Plant Stand",$42.99,64
453,"Gold Sofa",$649.99,92
454,"Pansy purple Headboard",$222.99,26
455,"June bud Storage Bench",$194.99,79
456,"Dark slate blue Bed",$389.99,48
457,"Celadon green Futon",$219.99,91
458,"Eton blue Dining Chair",$89.99,40
459,"Robin egg blue Wardrobe",$719.99,82
460,"Paradise pink Dining Table",$800,48
461,"Spanish pink Headboard",$222.99,56
462,"Mellow yellow Reclining Loveseat","$1,023.99",31
463,"Dark brown Stool",$54.99,22
464,"Chestnut Loveseat",$269.99,76
465,"Deep taupe Chaise Lounge",$235.99,6
466,"Mikado yellow Daybed",$311.99,8
467,"Dark spring green Dining Chair",$89.99,20
468,"Paolo Veronese green Sectional","$1,039.99",23
469,"Antique fuchsia Sofa",$649.99,98
470,"Copper rose Stool",$54.99,26
471,"Piggy pink Futon",$219.99,53
472,"Desert Dining Table",$800,3
473,"Gold Fusion Futon",$219.99,10
474,"Yellow Reclining Sofa","$1,119.99",62
475,"Spring Frost Bed",$389.99,29
476,"Medium candy apple red Ottoman",$52.99,4
477,"Mikado yellow Chaise Lounge",$235.99,66
478,"Laurel green Dresser",$699.99,78
479,"Blue sapphire Chaise Lounge",$235.99,6
480,"Field drab Crib",$289,65
481,"Terra cotta Futon",$219.99,97
482,"Upsdell red Wardrobe",$719.99,45
483,"Harvard Crimson Daybed",$311.99,37
484,"Sky magenta Loveseat",$269.99,20
485,"Bright lilac Sectional","$1,039.99",12
486,"Brink pink Reclining Loveseat","$1,023.99",17
487,"Macaroni and Cheese Storage Bench",$194.99,46
488,"Chestnut Wardrobe",$719.99,55
489,"Venetian red Sleeper Sofa","$1,279.99",63
490,"Chinese yellow Nightstand",$81.99,77
491,"Brink pink Reclining Sofa","$1,119.99",97
492,"Coyote brown Loveseat",$269.99,82
493,"Dark sienna Stool",$54.99,53
494,"Pink lavender Bed",$389.99,61
495,"Jungle green End Table",$39.99,22
496,"Mantis green Nightstand",$81.99,24
497,"Dark green Reclining Loveseat","$1,023.99",2
498,"Italian sky blue Chaise Lounge",$235.99,17
499,"French lime Crib",$289,7
500,"Baby pink Loveseat",$269.99,11
501,"Carolina blue Wardrobe",$719.99,50
502,"Violet Sectional","$1,039.99",27
503,"Sizzling Red Headboard",$222.99,95
504,"Antique white Reclining Loveseat","$1,023.99",71
505,"French raspberry Reclining Loveseat","$1,023.99",100
506,"Purple Daybed",$311.99,52
507,"Deep taupe Sectional","$1,039.99",17
508,"Rusty red Futon",$219.99,97
509,"Tumbleweed brown Plant Stand",$42.99,55
510,"Polished Pine Bench",$114.99,56
511,"Unmellow yellow Bench",$114.99,3
512,"Alabaster Bed",$389.99,3
513,"Avocado Crib",$289,15
514,"Persian indigo Crib",$289,61
515,"Light French beige Dining Chair",$89.99,81
516,"Platinum Headboard",$222.99,72
517,"Blue-gray Dining Table",$800,95
518,"Tangerine Sofa",$649.99,25
519,"Melon pink Reclining Loveseat","$1,023.99",75
520,"Chinese yellow Dresser",$699.99,23
521,"Red-violet Bed",$389.99,22
522,"Tuscan tan Reclining Loveseat","$1,023.99",69
523,"June bud Dining Chair",$89.99,20
524,"French rose End Table",$39.99,30
525,"Medium blue Dining Chair",$89.99,13
526,"Mahogany Crib",$289,43
527,"Wine dregs maroon Reclining Loveseat","$1,023.99",16
528,"Arctic lime Coffee Table",$200,25
529,"Lemon Loveseat",$269.99,28
530,"Myrtle Wardrobe",$719.99,90
531,"Orchid pink Dresser",$699.99,56
532,"Brandy Reclining Sofa","$1,119.99",89
533,"Rose red Sleeper Sofa","$1,279.99",73
534,"Café noir Daybed",$311.99,45
535,"Psychedelic purple Dining Table",$800,26
536,"Uranian blue Sectional","$1,039.99",42
537,"Imperial red End Table",$39.99,40
538,"Lavender Dining Chair",$89.99,14
539,"Pastel pink Bench",$114.99,19
540,"Citrine Storage Bench",$194.99,58
541,"Antique ruby Bench",$114.99,85
542,"French mauve Crib",$289,51
543,"Resolution blue Ottoman",$52.99,87
544,"Piggy pink Dining Table",$800,62
545,"Avocado Nightstand",$81.99,91
546,"Rose bonbon Bed",$389.99,63
547,"Mauvelous Daybed",$311.99,29
548,"Granny Smith apple Dresser",$699.99,61
549,"Tea green Coffee Table",$200,8
550,"Rusty red End Table",$39.99,92
551,"Minion yellow Dining Table",$800,84
552,"Redwood Ottoman",$52.99,37
553,"Indian red Stool",$54.99,50
554,"Sienna Ottoman",$52.99,58
555,"Dark electric blue Ottoman",$52.99,20
556,"Jet Reclining Loveseat","$1,023.99",52
557,"Bronze Reclining Loveseat","$1,023.99",41
558,"Turquoise green Plant Stand",$42.99,8
559,"Non-photo blue Daybed",$311.99,99
560,"Misty moss green Storage Bench",$194.99,89
561,"Ming End Table",$39.99,52
562,"Apple green Loveseat",$269.99,16
563,"Neon blue Reclining Sofa","$1,119.99",44
564,"Ghost white Futon",$219.99,90
565,"Chocolate Cosmos Crib",$289,17
566,"Myrtle Sectional","$1,039.99",30
567,"British racing green Crib",$289,38
568,"Red-purple Sectional","$1,039.99",51
569,"Cadmium yellow Bench",$114.99,33
570,"Dark red Sectional","$1,039.99",22
571,"Dark turquoise Sleeper Sofa","$1,279.99",2
572,"May green Dining Table",$800,82
573,"Vivid violet Dining Table",$800,99
574,"Bitter lemon Wardrobe",$719.99,66
575,"Dark lava Sofa",$649.99,75
576,"Lavender blush Sectional","$1,039.99",17
577,"Champagne pink Sectional","$1,039.99",41
578,"Blue-gray Dining Table",$800,8
579,"Dark cornflower blue Storage Bench",$194.99,18
580,"Middle grey Sleeper Sofa","$1,279.99",17
581,"Dark violet End Table",$39.99,10
582,"French violet Coffee Table",$200,32
583,"Persian orange Dining Table",$800,59
584,"Brown Bed",$389.99,7
585,"Tan Loveseat",$269.99,15
586,"Cardinal Dining Table",$800,32
587,"Rose Pompadour Stool",$54.99,7
588,"Cadet blue Loveseat",$269.99,50
589,"Mauve Sofa",$649.99,5
590,"Dark orange Sleeper Sofa","$1,279.99",80
591,"Spring Frost Crib",$289,36
592,"Sizzling Sunrise yellow Chaise Lounge",$235.99,47
593,"Quick Silver Bench",$114.99,98
594,"Raisin black Bed",$389.99,58
595,"Candy apple red Sleeper Sofa","$1,279.99",58
596,"Slimy green Headboard",$222.99,61
597,"Chili red Dining Table",$800,26
598,"Medium spring green Storage Bench",$194.99,23
599,"British racing green Futon",$219.99,22
600,"Pistachio Futon",$219.99,24
601,"Medium orchid Bench",$114.99,56
602,"Ultramarine blue Loveseat",$269.99,54
603,"Purple pizzazz Bench",$114.99,38
604,"Twilight lavender Dresser",$699.99,39
605,"Saddle brown Crib",$289,42
606,"Persian plum Bed",$389.99,85
607,"Sunray gold Loveseat",$269.99,45
608,"Lemon glacier Loveseat",$269.99,50
609,"Ivory Nightstand",$81.99,84
610,"Copper rose Plant Stand",$42.99,63
611,"Bud green Reclining Loveseat","$1,023.99",84
612,"Green-cyan Futon",$219.99,12
613,"Barn red Daybed",$311.99,16
614,"Alice blue Storage Bench",$194.99,72
615,"Medium spring green Bench",$114.99,18
616,"Frostbite pink Reclining Loveseat","$1,023.99",33
617,"UA blue Nightstand",$81.99,26
618,"Rosy brown Storage Bench",$194.99,96
619,"Dark sea green Sectional","$1,039.99",17
620,"Navajo white Crib",$289,50
621,"Mulberry Loveseat",$269.99,18
622,"True Blue Dining Chair",$89.99,83
623,"Dartmouth green Storage Bench",$194.99,73
624,"Yellow-green End Table",$39.99,83
625,"Macaroni and Cheese Sleeper Sofa","$1,279.99",15
626,"Palatinate purple Dresser",$699.99,28
627,"Dark slate gray Loveseat",$269.99,80
628,"Maximum green Crib",$289,57
629,"Jade Chaise Lounge",$235.99,55
630,"Sizzling Sunrise yellow Futon",$219.99,71
631,"Middle grey Wardrobe",$719.99,22
632,"Antique brass Crib",$289,36
633,"Lemon Sofa",$649.99,34
634,"French rose End Table",$39.99,71
635,"Cadmium red Chaise Lounge",$235.99,3
636,"Rifle green Sleeper Sofa","$1,279.99",64
637,"Dutch white Dining Table",$800,73
638,"Champagne pink Sofa",$649.99,62
639,"Blond Sleeper Sofa","$1,279.99",81
640,"Celadon green Dining Table",$800,48
